职位名称,技能,薪资,学历要求,地区
高级行政经理助理,"['10人-50人团队', '后勤管理', '会开车', '财务经验', '人力经验']",6-8K·14薪,本科,上海
高端体检中心—主检医生,"['内分泌', '呼吸内科', '心血管科', '高级职称']",11-22K,本科,上海
临床培训讲师,['康复理疗'],10-15K,本科,上海
电商商品经理,"['电子商务', '个人（ToC）', '数据分析能力', '沟通能力']",25-40K·13薪,本科,上海
Java开发工程师,"['Spring', 'Mybatis', '后端开发']",15-30K,本科,上海
Python数据分析师,"['电商数据分析', 'Python', 'SQL']",150-230元/天,,上海
HRBP,"['招聘', 'HRBP经验', '企业服务', '业务部门']",15-25K,本科,上海
医学写作上海,"['临床数据分析', '医药科研', '临床前研究', '方案设计', '医学写作']",15-30K,硕士,上海
美发助理技师,"['烫染助理', '烫染学徒', '美发助理/学徒', '包吃住', '剪发造型助理']",4-7K,学历不限,上海
项目文控及办公室助理,"['文件规范化', '分析力', '执行力']",8-10K·13薪,大专,上海
酒店店长助理,"['包住', '酒店管理经验', '全勤奖', '酒店管理专业', '环境好', '餐补']",5-8K,高中,上海
口腔洁牙师,"['口腔助理执业医师证', '口腔科助理', '口腔护士']",8-13K,大专,上海
MCU数字电路设计工程师,"['Verilog', '单片机开发', 'Linux', '嵌入式技术', 'trisel', 'RTL设计']",30-60K,硕士,上海
政府项目专员,['汽车零部件'],9-10K,大专,上海
电气工程师,"['控制柜设计', '部件选型', '安装调试', 'PLC工程师', '电控工程师']",12-18K,大专,上海
fae现场应用工程师,['电路设计'],10-15K·13薪,本科,上海
内部审计经理,"['四大', '内部审计']",20-35K·14薪,本科,上海
嘉硕精密招聘模具工,"['3-5年经验', '月结', '包吃']",8-9K,中专/中技,上海
30万年薪 无考核 房产销售 市场营销,"['个人（ToC）', '房地产', '房地产', '电话销售', '面销/陌拜']",15-30K,大专,上海
Java开发工程师,"['SpringBoot', '后端开发', 'airflow', 'hive']",20-40K,本科,上海
安全产品经理,"['安全相关', '应用', '安全']",17-18K·13薪,大专,上海
游泳教练兼救生员,"['救生员证', '自由泳', '集体授课', '一对一授课', '蛙泳', '蝶泳']",8-13K,学历不限,上海
PHP程序员/项目助理,"['PHP', '计算机相关专业', 'PHP开发经验']",7-12K,学历不限,上海
应用开发Leader,"['Java', 'HTML', 'CSS', '消息队列', '多线程', '全栈开发']",30-40K·16薪,本科,上海
招聘专员,"['公司人力资源部门', '综合人力部门']",7-10K,本科,上海
中央厨房副厂长,"['食品/饮料', '团队管理', '库存/仓储管理', '生产成本管理']",7-9K,大专,上海
大客户经理,"['音视频', '华东', '硬件']",10-15K,大专,上海
室内设计师,['AutoCAD'],5-10K,大专,上海
资深文案(Y7607),"['公司内部职位', '中文/广告相关专业', '制作过爆款文案']",12-16K,本科,上海
智能汽车软件架构专家,"['嵌入式技术', '分布式技术', '多进程', '多线程', '网络编程']",40-60K·16薪,本科,上海
室内设计师/家装设计师,['家居设计'],3-8K,中专/中技,上海
高级数据库工程师,"['DBA工作经验', 'MySQL数据库管理经验', '数据库工程交付经验']",18-30K,本科,上海
Android架构师,"['Android', 'Architecture']",35-50K·15薪,本科,上海
试验主管工程师,['动力总成台架'],20-25K·13薪,本科,上海
文案策划,"['乙方经验', '主持人稿', '直播脚本', '线上传播']",8-12K,本科,上海
DBA（资讯经理）,"['MySQL', 'Oracle', 'SQLServer', 'DBA工作经验']",15-22K,本科,上海
需求分析师,"['需求确认', '软件实施', '软件需求分析', '需求管理', '需求挖掘']",13-26K,本科,上海
润滑油销售工程师,['企业（ToB）'],8-12K·13薪,大专,上海
区域营销经理,"['课程顾问', '咨询顾问', '早教', '教育', '孤独症', '自闭症', '感统']",15-25K,学历不限,上海
售后服务工程师,['化学分析仪器'],11-20K·14薪,本科,上海
数据挖掘,"['Python', '深度学习算法', '机器学习算法', 'Spark', 'Hadoop']",35-40K·14薪,本科,上海
中医调理师,['中医推拿'],10-11K,学历不限,上海
汽车CAN总线开发工程师,"['单片机', '电路设计', '嵌入式']",10-15K,本科,上海
