职位名称,技能,薪资,学历要求,地区
产品经理,"['市场调研', '策略产品', '产品设计', '产品规划']",4-6K,本科,苏州
直播运营,"['MCN公司经验', '时尚美妆', '直播场控', '内容策划', '直播选品']",5-10K,大专,苏州
PLC工程师,"['电气', '非标机械']",8-13K·14薪,大专,苏州
客户经理,"['客户开发', '客户签约', '客户资料整理', '房地产', '个人（ToC）']",4-9K,高中,苏州
采购部助理,"['国内采购', '国外采购', '原材料']",5-8K,大专,苏州
培训师,"['班课教学经验', '职业培训', '教师资格证书', '职业技能等级证书']",5-6K,大专,苏州
点云算法工程师,"['研究导向', 'C/C++', 'OpenCV', 'TensorFlow/PyTorch']",20-25K,硕士,苏州
服务器工程师,"['计算机相关专业', '通信/工程相关专业', '网络运维经验']",6-8K,大专,苏州
美术教师,"['教师', '幼儿园', '小班教学（3-25人）', '培训机构', '线下教育']",5-10K,大专,苏州
IT运维工程师,"['网络交换技术', '系统运维']",7-12K,大专,苏州
定位算法工程师,"['C/C++', '算法设计', '融合定位']",20-30K·13薪,本科,苏州
全屋定制实习设计师,"['卧室家具', 'AutoCAD', '主案设计师', 'CAD', '客厅家具', '设计师']",100-110元/天,,苏州
广告执行,"['广告设计/后期', '户外广告']",3-4K,学历不限,苏州
硬件工程师助理,"['电路电线设计', 'PCB设计']",8-9K,本科,苏州
客服专员,"['接待/外联', '考勤管理', '熟悉办公软件操作', '熟悉商务礼仪']",4-5K,高中,苏州
新媒体图文设计师,"['手绘', '摄影', '电商美工']",4-7K,本科,苏州
博润纳招聘注塑工,"['包吃包住', '加班费', '年终奖', '夜班补助', '宿舍有空调']",8-10K·13薪,学历不限,苏州
产品经理,"['产品运营', '用户增长', '数据分析']",4-8K,本科,苏州
室内设计总监,"['室内设计', '沟通很重要']",7-12K,大专,苏州
特效师,"['动漫动画', '特效设计', '后期制作']",10-13K,学历不限,苏州
市场采编文员+工作轻松+双休,['编辑'],4-5K,大专,苏州
国内电商运营,"['网店店长经验', '过千万销售额店铺经验', '视频拍摄经验']",5-10K,本科,苏州
宠物美容师助理,"['宠物美容师助理', '餐补', '宠物店', '宠物店学徒经验', '月休四天']",4-6K,学历不限,苏州
销售专员,"['个人（ToC）', '面销/陌拜经验']",4-8K,大专,苏州
苏州德道通快激光钣金招聘钣金工,"['医疗器械', '3-5年经验', '月结', '包吃住']",9-12K,大专,苏州
机电项目经理,['项目管理'],20-35K·16薪,大专,苏州
书法老师,['书法'],6-8K,大专,苏州
资产评估助理,"['资产评估助理', '资产评估']",5-8K·15薪,本科,苏州
CAD设计/制图,"['CAD', 'ProE', 'PhotoShop', '设计师', '全职', '3D设计']",5-10K,大专,苏州
民宿管家,"['25岁-40岁', '踏实稳定', '可提供住宿']",4-6K,学历不限,苏州
Senior IT Engineer,['桌面运维'],15-25K·14薪,本科,苏州
太仓明皓招聘磨工,"['无心磨床', '1-3年经验']",6-9K,高中,苏州
市场总监,"['市场营销管理', '市场开发', '商务渠道', '市场营销', '市场推广']",7-12K·13薪,本科,苏州
软装设计师助理,"['CAD', '酷家乐', '办公地产', '住宅地产', '商业地产', 'Sketchup']",4-5K,大专,苏州
业务跟单,"['电子商务', '互联网/科技', '服务意识', '沟通能力', '企业（ToB）']",4-6K,高中,苏州
人事助理5K+双休,"['员工关系', '招聘配置']",4-8K,大专,苏州
环评工程师,"['沟通交流', '图文表达', '学习领悟']",8-10K,硕士,苏州
张家港莫干山家居招聘导购,"['底薪加提成', '家居建材', '线下', '线上', '包吃', '月结', '保底工资']",5-10K,本科,苏州
苏州展翘招聘机修工,['五险'],8-12K,高中,苏州
云售前工程师-苏州,"['云服务', '售前技术支持经验', '招投标经验']",10-15K,本科,苏州
暖通工程师,"['五险一金', '绩效奖金', '建筑']",9-14K,大专,苏州
非标自动化电气工程师,"['PLC工程师', '汇编语言', 'Unix', 'Windows', '电路设计']",15-20K·13薪,大专,苏州
经理助理,"['视觉设计', '人像修图', '网页设计', '服装设计', '广告设计', '全职']",4-6K,大专,苏州
总务翻译,"['日本工作经历', 'JLPT-N1', '专业翻译公司', '商务对接']",6-9K·14薪,大专,苏州
法奥招聘弱电工,['生产调试'],5-7K,大专,苏州
硬件工程师,"['硬件工程师', '电子工程师', '电路设计', 'PCB设计']",8-13K,本科,苏州
咨询顾问,['项目专员'],5-10K,中专/中技,苏州
龙源铜艺招聘折弯工,"['包吃包住', '八小时工作制', '意外险', '加班费']",7-8K,学历不限,苏州
生产计划,"['计划', '返空']",5-8K·13薪,大专,苏州
设计师助理室内,"['Sketchup', '室内设计', '设计师', '设计师助理', 'CAD']",2-4K,大专,苏州
客户经理，销售顾问,"['门店/柜台销售', '快消品', '面销/陌拜', '其他产品/服务']",5-9K,中专/中技,苏州
FAE,"['芯片设计', '电路设计']",8-13K·13薪,大专,苏州
单证,['单据制作/审查'],5-8K,大专,苏州
Unity开发工程师,"['C++', '游戏引擎', 'Windows', '移动端', 'Web端']",10-11K,硕士,苏州
助播,['全职兼职均可'],5-10K,学历不限,苏州
婚纱礼服搭配师,"['服装设计', '陈列员', '搭配审美']",9-14K,学历不限,苏州
开发工程师,"['CAD', 'SolidWorks']",6-8K,大专,苏州
小学初中语文老师,"['全职', '兼职', '培训机构', '线下教育', '不坐班', '教师']",8-12K,本科,苏州
一鸣真鲜奶吧招聘面包/烘焙师,"['带薪年假', '五险一金', '环境好', '全勤奖', '晋升空间大', '烘焙师']",4-7K,中专/中技,苏州
清颜美容师(带薪培训),"['综合性美容机构', '形象设计机构', '了解美容常识', '销售经验']",7-12K,高中,苏州
物控,"['机械设备/机电/重工', '新能源', '库存/仓储管理']",5-8K,中专/中技,苏州
初级系统集成应用工程师,"['嵌入式技术', '单片机开发', '驱动开发', 'ARM开发']",8-13K·14薪,本科,苏州
口腔护士,"['常规护理', '口腔科', '执业护士', '常规护理', '口腔护士', '口腔科']",4-6K,中专/中技,苏州
自媒体合伙人,"['视频拍摄经验', '自媒体运营', '视频主播', '图文内容创作者']",6-11K,大专,苏州
电学专利工程师,"['知识产权项目申报', '专利代理人', '知识产权代理人']",6-10K·14薪,本科,苏州
托班老师,"['文科', '数学', '语文', '英语']",3-6K,本科,苏州
硬件工程师,"['器件选型', '基带工程师', '电路设计', '嵌入式硬件开发']",16-23K·15薪,本科,苏州
土建施工员,"['建筑施工现场管理', '施工员证', '施工员']",8-13K,大专,苏州
化妆师,"['影楼化妆', '擅长发型造型', '擅长服装搭配']",8-10K,初中及以下,苏州
副总裁/副总经理/VP,"['公司管理', '战略管理']",20-21K,本科,苏州
美团快驴进货客户经理,"['门店/柜台销售', '面销/陌拜', '其他产品/服务', '企业（ToB）']",8-12K,大专,苏州
短视频编导合伙人,"['短视频', '网感好']",5-10K,大专,苏州
平面设计师,"['设计师', 'CorelDRAW', 'AI', 'PhotoShop', '全职', '户外广告设计']",5-7K,学历不限,苏州
门市销售,['入职当月交社保'],5-10K,高中,苏州
仁鹏外贸招聘配送员,"['短途骑车配送', '公司提供电动车', '有健康证']",5-7K,学历不限,苏州
ICU主任,"['重症医学科', '医师资格证']",10-15K·13薪,硕士,苏州
德邦快递招聘货运司机,"['具有货车运输驾驶经验', '无一次性扣6分及以上违章']",14-17K,学历不限,苏州
美容师,"['包住', '餐补']",5-10K,学历不限,苏州
发型师,"['包吃', '包住', '房补']",5-9K,学历不限,苏州
Linux C高级开发工程师,"['C++', 'Python', 'Shell', 'PHP', 'Perl']",25-30K,本科,苏州
好孩子儿童用品招聘机修工,"['电工机械维修', '1-3年经验']",5-7K,学历不限,苏州
音视频开发工程师(苏州),"['音频', '视频', '图形', 'C/C++']",15-30K·14薪,本科,苏州
钢琴老师,"['钢琴', '钢琴老师', '钢琴老师全职']",10-15K,本科,苏州
丽度模具招聘模具工,"['包吃包住', '住房补贴', '商业保险', '单位体检', '全勤奖', '年终奖']",7-12K,中专/中技,苏州
店员/营业员,"['门店销售', '全职', '电话销售', '数码产品销售']",4-8K,中专/中技,苏州
海底捞火锅招聘后厨,"['后厨学徒', '配菜打荷', '无经验', '火锅', '包吃住', '五险一金']",5-8K,学历不限,苏州
年薪10万+影视灯光师,['影视灯光'],8-13K,大专,苏州
影视后期制作,"['视频剪辑', '影视包装', '影片调色', '视频编辑', '素材处理']",5-6K,本科,苏州
流程管理经理,"['非技术项目管理', '管理相关专业', '流程管理']",11-20K·16薪,本科,苏州
执行实习生,"['行政', '财务', '执行']",3-4K,本科,苏州
优通国际物流招聘叉车工,"['叉车证', '月结']",6-7K,初中及以下,苏州
设备员,['电子/半导体'],7-10K,大专,苏州
室内设计,['家居设计'],5-10K,本科,苏州
项目经理,"['销售支持/交付管理', '管理相关专业', '实施交付经验']",6-10K·14薪,本科,苏州
Linux嵌入式开发工程师,"['C++', 'Linux']",20-40K·13薪,本科,苏州
综合岗,"['互联网金融', '证券公司']",5-9K,本科,苏州
童星星探,['有创新，有想法，有野心加入'],7-12K,学历不限,苏州
大橡木实验室招聘生产安全员,"['施工安全员', '安全工程师', '安全员资格证', '建筑建材']",6-8K,大专,苏州
统计专员,['加油兼仓管'],5-6K,大专,苏州
机械设计工程师,"['变速箱', '传感器', '执行器', '设计软件', '机械制造相关专业']",10-15K·13薪,本科,苏州
教务班主任（早九晚六/周末双休/五险一金）,"['培训机构', '线上教育', '线下教育', '互联网教育平台使用']",5-6K,本科,苏州
招聘房产销售，上市企业高薪聘请置业顾问,"['交易手续办理', '客户开发', '房源开发', '二手房', '商业地产']",8-13K,学历不限,苏州
推拿师,"['艾灸', '健康管理师证']",6-9K,高中,苏州
医药产品讲师,"['企业培训师', '职业培训师', '线上授课', '线下授课', '全职', '出差']",5-8K,大专,苏州
售后专员,"['网络/通信设备', '网络/通信硬件技术支持经验']",5-6K,中专/中技,苏州
游泳教练救生员,"['自由泳', '蛙泳', '仰泳', '小学教育', '成人教育', '一对一授课']",5-9K,大专,苏州
电气技术员,"['电气', '机械设备']",5-7K,大专,苏州
设备维护专员,['设备维护'],3-5K,中专/中技,苏州
昆山利庚嘉金属招聘磨工,"['1-3年经验', '月结', '包吃']",5-6K,学历不限,苏州
珠心算老师,"['销售经验', '心理学专业背景', '教育学专业背景', '坐班']",5-10K,大专,苏州
剪辑,"['视频剪辑', '后期制作', '特效设计', 'Premiere', 'AE软件']",9-14K,本科,苏州
板房主管,"['包吃包住', '服装打样制版']",8-10K,中专/中技,苏州
3D设计师,"['企业产品展厅', '会展临展', '博物馆', 'AutoCAD', 'PS', '3dsMAX']",7-10K,大专,苏州
嵌入式测试开发工程师（Linux）,"['C++', '软件开发经验', '计算机相关专业', '通信相关专业']",15-25K·13薪,本科,苏州
机修工,"['日常养护', '小型车', '汽车维修', '带薪年假', '月休四天']",5-7K,中专/中技,苏州
客服主管,"['含销售的客服工作', '接待处/咨询台客服', '电话客服']",3-6K,大专,苏州
招商加盟经理,"['渠道关系维护', '渠道/机构客户开发', '个人客户开发', '膜拜']",7-12K,大专,苏州
莱顿洗衣招聘缝纫工,"['餐补', '交通补助', '加班费', '带薪年假', '八小时工作制']",2-5K,学历不限,苏州
品管副课长（昆山）,['汽车质量管理体系标准'],8-10K·16薪,大专,苏州
财务会计专员,"['应收应付', '成本', '总账']",6-8K·15薪,硕士,苏州
弱电智能化,"['安装施工', '商业综合体', '酒店', '写字楼', '停车管理系统']",8-12K,学历不限,苏州
客户经理,"['服务意识', '沟通能力', '对企业/机构（ToB）销售经验']",6-11K,本科,苏州
项目经理,['项目实施'],10-11K,学历不限,苏州
总裁/总经理/董事长助理,"['政府关系管理', '驾驶证C1', '投融资管理', '人事行政', '公关管理']",10-15K,大专,苏州
平面设计师,"['CorelDRAW', 'PhotoShop', 'AI', '美工', '全职', '户外广告设计']",4-8K·13薪,大专,苏州
应用工程师,"['细胞培养', '售后工程师']",8-13K,本科,苏州
托班老师,['学前教育'],4-8K,大专,苏州
书法老师,"['书法教育', '集体授课', '线下授课', '全职', '艺术', '美术', '国学']",4-8K,大专,苏州
教学老师,"['下肢残疾', '销售经验', '熟练使用办公软件', '教育工作经验']",5-10K,中专/中技,苏州
二手车评估师,"['二手车评估', '二手车评估师证']",8-13K,大专,苏州
AI底层编译器开发工程师,"['C++', '计算机相关专业', '音视频相关开发经验', '编译器']",25-50K·13薪,本科,苏州
IT助理工程师,"['售前/售后技术支持', 'IT技术支持经验', '售后支持/客户响应经验']",5-6K·13薪,大专,苏州
CAD制图,['全职'],4-5K,大专,苏州
软件工程师,"['软件工程师', 'Linux']",15-20K·13薪,本科,苏州
美甲美睫,"['美甲', '睫毛嫁接', '全勤奖', '日式美睫', '绩效奖金', '美甲']",4-9K,学历不限,苏州
婉倪金属招聘折弯工,"['五险', '包吃', '包住', '夜班补助', '加班费', '绩效奖金', '全勤奖']",8-12K,学历不限,苏州
百世集团招聘叉车工,"['托盘叉车', '包住', '全勤奖', '包吃住', '工龄奖', '包吃', '月休两天']",5-8K,初中及以下,苏州
软装设计师助理,['展厅'],3-8K,学历不限,苏州
汽车机电维修工,"['日常养护', '乘用车', '汽修系统培训经历', '汽车维修工证']",4-8K,高中,苏州
分子生物学研究主管,"['分子生物学', '基因编辑', '载体构建', '基因诊断', '项目管理']",12-20K,硕士,苏州
酒店客房领班,"['正常工作制', '客房管理经验', '熟练使用办公软件', '普通话标准']",3-4K,高中,苏州
课程顾问,"['五险一金', '高温补贴', '绩效奖金']",10-15K,大专,苏州
美容师美体师,"['月休四天', '年终奖', '绩效奖金', '包住', '包吃', '带薪培训']",10-15K·15薪,学历不限,苏州
售前客服,"['含有销售的客服工作', '电话客服', '线上客服', '倒班工作制']",5-10K,高中,苏州
国际区招聘专员,['招聘'],8-13K·15薪,本科,苏州
机械设计工程师,"['重型机械', '图纸设计', 'BOM撰写', '设计建模', 'AutoCAD']",5-7K,本科,苏州
华润万家招聘店员/营业员,"['全职', '食品生鲜', '饮料酒品', '超市便利', '五险一金', '月结']",4-5K,大专,苏州
总经理助理,"['公关管理', 'C1驾驶证']",8-10K·13薪,本科,苏州
体育老师环境好待遇佳,"['体能', '小学教育', '体育', '教师', '学前教育', '教育培训']",4-8K,大专,苏州
labview工程师,['labview'],10-15K,本科,苏州
汽车维修技师,"['日常养护', '快修快保', '机修', '轮胎', '小型车', '包吃', '包住']",5-6K,学历不限,苏州
环保工程师,"['印染污水处理设计', '环保设备管材阀门知识', 'AutoCAD、office']",11-18K,本科,苏州
洛思奇招聘木工,"['包住', '餐补', '八小时工作制']",7-11K,学历不限,苏州
项目经理,"['生物管经验', '生产计划经验', '有PMP证书优先']",7-11K,大专,苏州
插花师,"['餐补', '五险', '高温补贴', '不加班', '员工旅游', '过节福利']",7-10K,大专,苏州
地基基础施工员,['分包施工员'],8-12K,大专,苏州
信用卡销售,"['互联网金融/消费金融', '银行', '信用卡推广及办理']",12-24K,学历不限,苏州
结构设计工程师（base无锡）,"['机器人', 'UG', '机械工程专业', '汽车制造', '重型机械', '结构']",14-25K·14薪,本科,苏州
焊接机器人销售经理,"['企业（ToB）', '对企业/机构（ToB）销售经验']",8-13K,学历不限,苏州
采购主管,"['采购管理', '采购经理']",7-8K,大专,苏州
PLC、HMI、机器视觉销售工程师,"['客户开发与维护', '市场信息搜集与分析', '技术配合与沟通']",9-14K·13薪,大专,苏州
政府关系高级经理,"['政府公关', '省部级项目经验', '互联网']",9-10K·15薪,本科,苏州
天猫运营,"['网店店长', '店铺推广', '淘宝天猫运营', '电商平台', '运营专员']",5-10K,大专,苏州
汽车维修机电工,"['故障排查', '日常养护', '快修快保', '机修', '轮胎', '汽车电路']",7-11K,中专/中技,苏州
客服代表.销售专员,"['客户签约', '客户开发', '客户关系维护', '企业服务', '进出口贸易']",10-15K·13薪,高中,苏州
数值算法工程师,"['C/C++', '有限元法', '一维网络法', '传热，流动']",20-40K·14薪,硕士,苏州
验光配镜师,"['医疗健康', '医院卫生', '验光配镜']",6-10K,大专,苏州
安卓工程师,"['Android客户端产品研发', 'Android开发经验', 'Android']",12-15K,本科,苏州
项目经理,"['需求采集', '需求分析评估', '产品开发', '产品内部评审']",12-17K,大专,苏州
汉堡王招聘服务员,['五险一金'],20-25元/时,学历不限,苏州
西贝餐饮集团招聘面点师,"['中式面点', '面条', '无经验', '连锁餐厅经验', '包吃']",5-6K,学历不限,苏州
园林设计,"['景观园林设计师', 'CAD', 'Sketchup']",6-11K,大专,苏州
短视频摄影剪辑师,"['宣传片', '活动视频', '短视频', 'EDIUS', 'Photoshop', 'Premiere']",10-15K,大专,苏州
美容店长,"['八小时工作制', '绩效奖金', '年底双薪', '全勤奖', '年终奖']",7-8K,学历不限,苏州
采购,"['生产型公司', '大中型企业采购经验', '机械部件', '五金工具']",10-15K,学历不限,苏州
泸溪河招聘面包/烘焙师,['带薪年假'],4-5K,中专/中技,苏州
兼职办公讲师,"['培训机构', '线下教育', '职业与技能培训', '电子商务', 'IT培训']",5-6K,本科,苏州
销售代表,"['个人（ToC）', '无经验要求', '电话销售经验']",8-13K,学历不限,苏州
工民建专业优秀毕业生,"['Tekla', '装配式建筑']",5-6K·15薪,本科,苏州
PDPS.ROBOCAD.仿真工程师助理,"['CAD', 'ROBOCAD', 'PD.PD.']",5-6K·13薪,本科,苏州
苏州全进招聘网约车司机,['弹性工作制'],10-15K,初中及以下,苏州
产品打样,"['五险', '包吃', '包住', '夜班补助', '加班费', '绩效奖金', '月休四天']",12-15K,中专/中技,苏州
注塑工艺员,"['注塑工艺设计/评审', '生产技术支持', '生产异常分析/处理', 'UG']",9-10K,大专,苏州
室内装修设计师,"['办公室', '商铺', '普通住宅', 'PS', '3DsMAX', 'AutoCAD']",7-12K,大专,苏州
客户经理（阿里巴巴集团正式编制）,"['客户关系维护', '客户开发', '客户签约', '互联网/科技']",15-30K·13薪,本科,苏州
灯光音响师,['设备安装调试'],4-5K,中专/中技,苏州
抖音直播,['电商主播'],8-13K,学历不限,苏州
软件运维工程师,"['系统运维', '应用运维', 'Windows', 'SaaS', '计算机软件', 'IT服务']",4-6K,大专,苏州
钢笔字书法老师,"['小学教育', '教师', '线下授课', '全职兼职均可']",5-8K,学历不限,苏州
品质工程师,"['AQE', 'SQA/SQE', 'DQE/DQA']",6-11K,学历不限,苏州
美疗师,"['销售经验', '美体瘦身机构', '艾灸养生减肥塑形', '了解美容常识']",8-13K,学历不限,苏州
数控学徒,"['SolidWorks', '电路设计', '电气设计']",4-5K,中专/中技,苏州
世硕电子招聘手机维修,"['周末单休', '综合维修', '手机维修', '五险一金']",8-9K,大专,苏州
编导,['编导'],9-14K,大专,苏州
年薪30万+信贷产品经理+意向客户资源,['含销售性质'],25-30K,学历不限,苏州
广告设计策划,"['广告制作', '广告策划', '广告设计', '企业/自有品牌', '设计', '策划']",5-7K,中专/中技,苏州
电子工程师,['电路设计'],6-7K,高中,苏州
电商运营助理,"['品类运营', '店铺运营', '医药保健', '美妆日化', '家用电器']",5-9K,大专,苏州
美发师,"['接发', '餐补', '包吃包住', '发型师', '美发师', '烫染学徒']",6-10K,学历不限,苏州
昕轩招聘货运司机,"['具有货车运输驾驶经验', '需要装卸', '日用品运输', '健康证']",5-7K,学历不限,苏州
软件工程师,"['SQL', 'Java']",7-10K,大专,苏州
苏州英利招聘质检员,"['来料检验（IQC）', '制程检验（IPQC）', '出货检验（OQC）']",5-6K,初中及以下,苏州
员工关系管理员,"['纠纷处置经验', '劳动关系办理', '考勤管理', '离职分析']",6-9K·13薪,大专,苏州
暖通工程师,"['方案设计', '生物科学设施', '较多出差', '二级建造师', 'AutoCAD']",8-13K,本科,苏州
外联专员,"['社会活动能力', '熟悉政企合作事务', '接待']",8-12K·15薪,本科,苏州
行政专员,['人力经验'],5-8K,大专,苏州
小学美术教师,"['全职', '教师']",6-8K·14薪,本科,苏州
广告设计,"['广告设计', '广告/设计公司', 'CDR', 'PS', 'AI']",3-5K,学历不限,苏州
美容店长,"['了解美容常识', '销售经验', '综合性美容机构', '美体瘦身机构']",11-20K,学历不限,苏州
硬件工程师,"['电子电气/自动化相关专业', '硬件开发经验', '仪器仪表']",13-18K,本科,苏州
5000底薪+提成招聘业务员,"['高薪，销售，', '自由', '高提成', '五险一金']",8-13K,学历不限,苏州
喜茶招聘服务员,"['餐补', '五险一金', '加班费', '带薪年假']",5-7K,中专/中技,苏州
运营督导经理,"['超市卖场', '管理经验', '接受经常出差', '善于解决客诉', '五险']",8-13K,大专,苏州
兼职地推,"['非销售岗', '全职兼职均可', '商务谈判能力', '招生', '广告投放']",5-6K,学历不限,苏州
3D次世代角色设计师,"['游戏角色设计', '3D设计', 'MAYA', '游戏', '3DMax', 'ZBrush']",5-10K·13薪,大专,苏州
数字验证工程师（校招）,"['半导体技术', 'FPGA开发', '电路设计', '芯片设计']",17-25K·15薪,硕士,苏州
初级ETL实施工程师（苏州）,"['SQL', 'Kettle', 'Informatica', 'PostgreSQL', 'Oracle', 'MySQL']",4-7K,大专,苏州
苏州龙阳文化传播招聘调酒师,"['调酒师', '鸡尾酒', '酒吧']",3-5K,中专/中技,苏州
渠道采购经理,['供应商管理'],8-13K,大专,苏州
美团招聘店员/营业员,"['食品生鲜', '全职', '每周双休', '月结']",6-7K,学历不限,苏州
美柯乐制版印务招聘普工/操作工,"['有空调', '做六休一', '有WIFI', '缴纳社保', '工作餐免费']",5.5-7.5K,学历不限,苏州
后期剪辑,"['视频剪辑', '短视频', '字幕制作', 'Premiere', 'FinalCut', 'AE']",6-11K,学历不限,苏州
手工制作,"['免费培训', '花艺/插花造型设计', '环境好', '全职']",4-6K,学历不限,苏州
服务顾问,['五险一金'],7-8K,学历不限,苏州
项目经理（拓展部）,['活动执行'],6-10K,本科,苏州
高级有机合成研究员,"['化学实验分析', '化工技术应用']",12-22K,硕士,苏州
快剪发型师,"['全职兼职均可', '就近分配', '发型师', '保底工资', '美发师', '剪发']",6-10K,学历不限,苏州
弱电施工员,"['安装施工', '产业园区', '商业综合体', '写字楼', '安防系统']",7-9K,学历不限,苏州
销售工程师,"['销售工程师', '大客户代表', '销售主管', '硬件', '计算机软件']",5-10K·13薪,大专,苏州
二手车评估师,"['汽车检测', '车辆查勘定损', '二手车评估师证', '二手车评估师']",7-8K·14薪,中专/中技,苏州
效果图设计师,"['3DMax', '视觉设计', 'PhotoShop', 'Sketchup', 'CAD', '3D建模']",4-9K,大专,苏州
苏州急招药店店员6-10k包住宿,['药店'],5-10K,大专,苏州
3D视觉应用工程师,"['售前工程师', '售后工程师', '视觉', '技术支持', '相机']",5-8K·14薪,大专,苏州
家居设计师,"['CAD', '家庭空间', '家具选型']",4-9K,大专,苏州
场景模型师,"['3D场景', '写实']",3-8K,学历不限,苏州
策划总监,"['品牌', '市场分析', '广告策划']",12-16K·13薪,大专,苏州
夹具工程师,"['CATIA', '非标经验', 'AutoCAD', '工业机器人夹具']",10-15K,大专,苏州
宝宝洗澡师,"['家政派单平台', '月子中心', '婴儿']",4-8K,学历不限,苏州
管家主管,['住宅小区'],8-10K·13薪,大专,苏州
高级项目工程师,"['高新技术企业', '智能车间', '企业技术中心']",15-20K,本科,苏州
（线上不用坐班）小说写手,"['网络小说', '原创故事', '爆文制造机', '10w+阅读', '网感好']",8-13K,学历不限,苏州
组织发展,"['组织架构/职级体系设计优化', '掌握多种人才测评工具']",12-24K·13薪,本科,苏州
cnc加工中心,"['西门子', '三菱', '法兰克']",7-10K,大专,苏州
新媒体视频剪辑师（初级）,"['视频剪辑', '素材处理', '短视频', 'Premiere']",4-9K,学历不限,苏州
外贸助理,"['外贸跟单', '英语可用于工作', '贸易', '欧洲市场']",6-8K,大专,苏州
电气工程师（武汉、襄阳、恩施等地）,['PLC工程师'],6-10K,学历不限,武汉
IT项目经理,"['产品开发', '需求分析工程师', '技术管理']",10-15K,本科,武汉
材料员,['建筑施工'],8-10K,大专,武汉
招标助理,['招标，政府采购，'],3-5K,大专,武汉
领行科技招聘网约车司机,"['免费培训', '平台一对一派单', '环境好', '弹性工作制', 'C1驾驶证']",9-14K,初中及以下,武汉
.NET,"['C#', '.NET', '计算机相关专业', '数据库']",10-15K·13薪,大专,武汉
游泳学徒,"['自由泳', '蛙泳', '蝶泳', '仰泳', '小学教育', '一对一授课']",5-6K,学历不限,武汉
销售总监,"['政府客户', '领导能力', '风险管理', '全国区域']",15-20K,大专,武汉
多媒体驱动开发工程师,"['Linux', 'ARM开发', 'C语言', '芯片验证', '底层驱动', 'BSP开发']",20-40K·14薪,本科,武汉
高级产品经理（自研）13-16薪,"['SQL', '功能产品', '需求分析', '产品设计', 'oms', 'sass']",15-20K,大专,武汉
市场专员/主管（就近分配）,"['销售岗', '教育培训']",8-13K,大专,武汉
java开发工程师,['Java'],15-25K·14薪,本科,武汉
设计师助理,"['室内设计', '平面设计']",5-6K,高中,武汉
Java中级开发工程师,"['SQL', '分布式技术', '多线程', '微服务架构', 'Spring', 'Dubbo']",11-20K·13薪,大专,武汉
插画设计师,"['电商设计类插画', 'PS', '擅长手绘', '全职', '企业/自有品牌']",4-5K,学历不限,武汉
带货主播,"['抖音', '服装鞋履', '普通话流利', '接受夜班', '弹性工作制']",10-15K,高中,武汉
音响工程师,"['调试维修设备', '混音', '短视频']",5-10K,学历不限,武汉
链家经纪人,"['房屋买卖', '房屋租赁', '二者兼具', '新房', '二手房']",5-10K,学历不限,武汉
晶恒科技招聘铣工,['五险'],5-8K,学历不限,武汉
unity ui编辑人员,"['Unity3D', 'ps']",5-6K·13薪,大专,武汉
爱之家招聘生产安全员,['安全员资格证'],6-8K,大专,武汉
平面设计师,"['移动端', '视觉设计', 'UI设计', '网页设计', '美工', 'Dreamweaver']",5-8K,本科,武汉
抖音主播（单间公寓+8k无责+兼职全职都行）,"['情感聊天', '游戏竞技', '抖音', '全职兼职均可', '远程办公']",6-11K,学历不限,武汉
平面广告设计师,['平面设计'],3-4K,中专/中技,武汉
图文店入驻专员,"['图文店工作', '经验', '文件排版制作']",3-5K,本科,武汉
垃圾分类项目经理,"['组织策划', '项目建设运营']",6-7K,大专,武汉
德语老师,"['兼职', '无需坐班']",5-10K,本科,武汉
软件测试工程师,"['功能测试', '软件测试']",6-9K,大专,武汉
室内外效果图设计,"['CAD', 'Sketchup', 'SU']",4-9K,大专,武汉
计调,"['境内游', '出境游', '散拼团', '旅游票务', '自由行', '国内线路']",5-8K,大专,武汉
振丰工贸招聘焊工,"['全职兼职均可', '兼职']",5-10K,学历不限,武汉
中百罗森招聘店员/营业员,"['全职', '超市便利', '水果生鲜', '烟酒茶叶', '就近分配', '商业保险']",4-6K,学历不限,武汉
设计师助理,"['室内设计', '设计师助理']",3-4K,大专,武汉
餐饮门店厨务经理,"['熟悉食品安全/卫生管理', '5年以上', '成本管控能力']",8-10K,高中,武汉
桥梁设计师,"['桥涵工程', '道路/轨道', 'AutoCAD', 'ANSYS', 'MIDAS']",4-9K,大专,武汉
餐饮营销策划,"['一般企业（甲方）', '快消/零售', '营销策划及执行', '品牌管理']",7-10K,大专,武汉
外包管理专家,"['电商客服', '线上客服', '外包管理', '平台规则', '在线业务']",8-10K,大专,武汉
专职律师,['律所'],11-16K,本科,武汉
设计师助理,"['室内设计', '家居/家具设计']",2-5K,学历不限,武汉
中餐厨师,"['切配', '半成品加工', '小吃', '中央厨房/半成品加工', '无经验']",3-5K,初中及以下,武汉
产品经理,"['功能产品', '平台产品', '市场调研', '产品规划', '产品设计']",12-18K·13薪,本科,武汉
家装销售顾问,"['个人（ToC）', '无经验要求', '电话销售经验', '网络营销经验']",4-9K,学历不限,武汉
宏伟盛世招聘空调工,"['年终奖', '团建聚餐', '生日福利', '包吃包住', '商业保险', '加班费']",3-6K,初中及以下,武汉
美容全能型导师，销售专家，分公司总经理,"['企业（ToB）', '门店/柜台销售', '企业服务', '医疗/大健康']",15-30K·24薪,学历不限,武汉
