数据安全工程师,['数据安全'],6-11K,本科,昆明
数据分析工程师,"['数据分析', 'Excel', 'SQL', 'Python']",7-10K·15薪,本科,天津
数据分析师,"['数据分析', '地图数据']",6-10K,大专,北京
数据分析师,"['Excel', 'Tableau', 'SQL']",9-10K,本科,上海
大数据工程师,"['Python', 'Java', '分布式技术', '微服务架构', '消息队列', '', '', '']",11-22K,本科,大连
数据采集工程师,"['网络爬虫技术', 'Python', 'aop', 'CSS', 'scrapy', 'webmagic', '', '']",10-15K,本科,深圳
数据标注员,['文员 数据标注'],2-5K,学历不限,佳木斯
大数据实施实习生,"['计算机相关专业', '熟练掌握SQL语句', '可适应出差', '', '', '']",150-200元/天,本科,石家庄
数据信息员,['数据分析'],5-6K,大专,哈尔滨
大模型数据算法实习生,"['Python', '深度学习经验']",7-8K,本科,北京
数据标注,"['数据标注', '文本标注', '23D融合连续帧', '全职工作', '标框标注', '', '']",3-7K,大专,太原
数据员,"['财务管理', '财务分析', '会计']",4-5K,大专,湛江
职位名称,技能,薪资,学历要求,地区
AI 人工智能 机器学习 开发工程师,"['机器学习', 'AI', '人工智能', '开发', 'Python', 'Java', '算法']",20-40K·14薪,本科,深圳
AI人工智能顾问,['人工智能'],15-20K,硕士,北京
ai人工智能工程师,"['Python', 'TensorFlow/PyTorch', 'Java']",50-80K,本科,上海
AI人工智能训练师,"['视频', '地图', '音频', '文字', '图片']",4-8K,学历不限,太原
高端AI人工智能讲师（技术NB可兼职）,"['语音/图像识别', 'Hadoop/Hive/Spark', 'TensorFlow/PyTorch', '', '', '', '']",30-60K,博士,长沙
AI人工智能算法工程师,"['算法设计', '深度学习算法', '视觉图像算法', 'Python', '', '']",25-50K,本科,上海
实习TVC美术设计-AI人工智能方向,"['视觉设计', '平面设计', '三维设计', '人工智能']",150-300元/天,本科,杭州
python开发/机器学习/AI人工智能,"['Python', '人工智能', '机器学习', '数据挖掘', '大数据', '数据分析', '', '']",5-7K,大专,衡水
AI人工智能工程师(B0969),"['业务导向', '语音/图像识别', '云计算', 'Python', '计算机相关专业', '', '']",30-40K·14薪,本科,北京
AI人工智能开发工程师,"['智能驾驶', '语音/图像识别', 'Python', '计算机相关专业', '', '']",11-15K·15薪,硕士,保定
人工智能专家,"['深度学习算法', '视觉图像算法', '数据分析', 'TensorFlow', 'Caffe', '', '', '']",25-50K,本科,无锡
人工智能编程,"['销售经验', '支持远程办公', '小班教学（3-25人）', '人工智能类', '', '', '', '', '', '', '', '', '']",3-6K,大专,葫芦岛
人工智能,"['Java', '汇编语言', '算法基础', '数据结构', '前后端开发', '', '', '']",30-50K,硕士,北京
人工智能工程师,['机器学习算法/工程化经验'],12-20K,本科,成都
人工智能工程师,['Python'],10-15K·13薪,本科,昆明
人工智能编辑实习生,['ai'],150-200元/天,本科,北京
人工智能,"['深度学习算法', '视觉图像算法', '自然语言处理', '语音算法', '', '', '', '']",13-26K,本科,北京
人工智能,"['图片', '视频', '文字', '音频', '地图']",3-6K,大专,达州
人工智能,"['Java', 'Python', 'C/C++']",6-7K,大专,潍坊
人工智能训练师,"['全职工作', 'AI训练师', '智能运营']",9-14K,大专,合肥
人工智能训练师,"['语音/图像识别', '智能驾驶']",3-7K,学历不限,哈尔滨
人工智能算法专家,"['Python', '深度学习算法', '机器学习算法', '视觉图像算法', '', '']",15-30K,硕士,天津
人工智能课程讲师,"['人工智能', '机器学习', '深度学习']",4-8K,学历不限,上海
人工智能教师,"['人工智能教师', '创客课程老师', '机器人课程老师', '编程课程老师']",6-8K,大专,太原
人工智能标注,"['全职工作', '兼职工作', '标注方法优化', '标注结果整理', '', '', '', '', '', '', '', '', '']",3-4K,学历不限,南昌
人工智能算法工程师,"['叶贝斯', '随机森林', 'SVM', '神经网络', '聚类', 'PCA']",2-3K,本科,北京
人工智能研发工程师,"['深度学习算法', 'Java', 'Python']",200-400元/天,硕士,北京
人工智能开发工程师,"['深度学习算法', '自然语言处理', 'TensorFlow', 'PyTorch']",12-18K·13薪,硕士,成都
人工智能算法工程师,"['Python', 'SQL', '深度学习算法', '机器学习算法', 'PyTorch', '']",10-15K,本科,上海
人工智能讲师,"['Python', 'CNN/RNN/LSTM', 'TensorFlow/PyTorch', '智能驾驶', '', '', '']",12-24K,硕士,长沙
兼职人工智能讲师,"['语音/图像识别', 'TensorFlow/PyTorch', 'Hadoop/Hive/Spark', '', '', '']",5-6K,本科,济宁
人工智能工程师,['Python'],15-16K,本科,福州
人工智能算法工程师岗位,"['搜索/推荐', 'Python', 'Java', 'TensorFlow/PyTorch']",15-20K,学历不限,北京
人工智能fae,"['售前/售后技术支持', '计算机/通信相关专业', '大数据运维经验', '']",10-15K·14薪,本科,北京
大客户销售-人工智能,"['政府客户', '外企客户', '软件销售', 'IT服务', '人工智能']",15-30K,大专,上海
人工智能机器人,['算法设计'],300-600元/天,本科,北京
Al人工智能标注,"['全职工作', '标注结果整理', '数据标注', '图片标注', '视频标注', '', '', '', '']",3-8K,中专/中技,西安
人工智能工程师,"['人工智能', '机器学习', '深度学习']",20-40K,本科,深圳
人工智能高端人才,['智能营销/广告'],55-85K·17薪,博士,西安
人工智能方向软件研发,"['人工智能', '深度学习算法', '视觉图像算法', 'Python', '', '']",6-10K·13薪,本科,济南
人工智能算法专家,"['无明显侧重', '风控/反欺诈', '智能营销/广告', 'Python', '', '', '', '', '']",30-50K·13薪,硕士,北京
人工智能工程师,"['Python', 'C/C++', 'TensorFlow/PyTorch', '计算机相关专业', '', '']",15-20K·13薪,硕士,郑州
人工智能训练师,"['全职工作', '标注结果整理', '数据标注', '标注数据分析', '', '', '', '', '', '', '']",2-4K,学历不限,银川
人工智能课程研发,['人工智能'],7-12K,本科,北京
人工智能训练师,['自然语言处理'],1-6K,学历不限,许昌
人工智能研究员,"['业务导向/研究导向', '语音/图像识别', '智能驾驶', '云计算', '', '', '']",28-45K,博士,上海
人工智能研究员,['OpenCV'],20-40K,硕士,北京
人工智能,"['Python', 'C语言', '机器人']",5-8K,大专,绍兴
人工智能,"['AI标注', '图片拉框', '图片', '文职', '图形识别', '标注', '图片标注', '']",2-4K,学历不限,衡水
电力人工智能算法工程师2,"['Python', 'TensorFlow/PyTorch', 'CNN/RNN/LSTM', '', '', '']",10-15K·14薪,硕士,北京
人工智能销售,"['企业（To B）', '电话销售', '会展销售', '面销/陌拜', '电子商务', '', '']",5-10K,高中,杭州
人工智能讲师,"['Python', '算法设计', '自然语言处理', '深度学习算法', '', '', '', '']",10-15K·14薪,本科,成都
人工智能专家,"['算法', '人工智能', '深度学习']",25-40K,本科,北京
人工智能数据专员,"['全职工作', '数据标注', '图片标注', '文本标注', '语音标注', '']",3-6K,大专,新余
人工智能算法总监,"['Java', 'Python', 'Tensorflow', 'Pytorch', 'SVM', 'Regression']",40-60K,博士,上海
人工智能销售顾问,['K12销售经验'],3-8K,大专,菏泽
人工智能项目助理,"['视觉图像算法', '深度学习算法', '运动控制算法', 'Python', '', '']",6-10K,硕士,合肥
人工智能技术总监,['计算机相关专业'],30-55K·14薪,硕士,北京
人工智能产品经理,"['C端产品', 'B端产品', '语义类AI', '视觉类AI', '智能医疗']",20-40K,硕士,上海
人工智能团队经理,['云计算'],20-25K,本科,北京
人工智能训练师,"['图片', '文字', '音频', '地图', '视频']",3-7K,大专,太原
人工智能训练师,"['文本分类', '知识图谱', '智能客服']",10-15K,学历不限,杭州
人工智能训练师,"['计算机相关专业', '图像识别经验']",3-6K,大专,淄博
科研岗（人工智能方向）,"['自然语言处理', '深度学习算法', '机器学习算法', '视觉图像算法']",20-40K·13薪,博士,成都
人工智能高级工程师,"['语音/图像识别', '云计算', 'Java', 'Python', '数学/统计相关专业', '', '']",8-12K,硕士,日照
人工智能-NLP工程师（校招）,"['算法设计', '深度学习算法', '文本分类', '知识图谱']",5-8K,硕士,成都
人工智能金融科学家,"['C/C++', '英文读写能力良好', 'R', '机器学习算法/工程化经验', '', '', '', '']",20-40K·13薪,硕士,天津
人工智能产品助理,['人工智能'],5-10K,大专,东莞
销售经理（人工智能）,"['个人（To C）', '互联网/科技']",15-20K,本科,绵阳
人工智能图像识别,"['C++', 'Python', '算法设计', '视觉图像算法', '图像处理', '']",8-12K,本科,天津
人工智能训练师,"['文本分类', '语义角色标注', '句法分析', '数据开发', 'DBA']",4-8K,大专,南昌
人工智能工具链开发工程师,"['Python', '架构师', '全栈开发', '高级软件工程师', '', '', '']",12-20K·14薪,本科,成都
人工智能训练师,"['图片标注', '文本标注', '语音标注']",3-6K,本科,海口
人工智能训练师,"['全职工作', '标注结果抽查', '数据标注', '标注数据分析', '', '', '', '', '', '', '', '', '']",3-8K,本科,海口
人工智能产品经理,['B端产品'],15-20K,本科,北京
资深人工智能工程师,"['业务导向', '语音/图像识别', '生物医疗', 'C/C++']",15-30K,硕士,苏州
算法工程师（人工智能/机器学习）,"['深度学习算法', '自然语言处理', '机器学习算法', 'Python', '', '', '', '']",26-45K·15薪,硕士,北京
人工智能工程师,"['视觉图像算法', '深度学习算法', '运动控制算法', '算法设计', '', '', '', '']",15-18K,本科,济南
人工智能工程师,"['Python', '深度学习算法', '视觉图像算法', 'PyTorch', 'TensorFlow']",12-15K·13薪,本科,石家庄
人工智能高级工程师,"['C/C++', 'Python', 'TensorFlow/PyTorch', '图像识别经验']",15-30K,博士,北京
人工智能开发工程师,"['Java', '视觉图像算法', '深度学习算法', 'TensorFlow']",20-40K,本科,上海
人工智能算法工程师,"['算法设计', '深度学习算法', '机器学习算法', '视觉图像算法', '', '']",30-40K·15薪,本科,北京
人工智能数据工程师,"['C++', 'Python', '视觉图像算法', '图像处理', '图像分析']",120-180元/天,本科,深圳
人工智能算法工程师,"['Python', '计算机相关专业', '机器学习算法/工程化经验', '', '', '', '']",20-40K,本科,成都
人工智能算法工程师,"['语音/图像识别', '智能驾驶', 'Python', 'OpenCV', '']",20-21K,本科,北京
人工智能算法工程师,"['CNN', 'TensorFlow', 'PyTorch', 'Caffe', 'Keras']",6-10K,本科,绍兴
人工智能算法工程师,"['自然语言处理', '推荐算法']",12-18K·13薪,本科,西安
