4284,礼橙招聘网约车司机,"['全职', '免费培训', '平台一对一派单', '车辆保险/保养']",8-12K,学历不限,青岛
4285,系统集成,"['驾照', 'CAD', '电路设计']",4-6K,本科,青岛
4286,主持人,"['主持人/司仪', '全职兼职均可', '剧本杀', '五险', '氛围好']",6-11K,中专/中技,青岛
4287,算法,['Python'],6-10K·13薪,本科,青岛
4288,销售专员,"['门店销售', '地推销售', '渠道销售', '大客户销售']",7-10K,学历不限,青岛
4289,C本送货司机,"['驾驶证C1', '2-3年', '公司提供运输货车', '公司提供运输面包车']",6-7K,中专/中技,青岛
4290,销售专员,"['企业（ToB）', '对企业/机构（ToB）销售经验', '批发/零售']",3-8K,大专,青岛
4291,代理记账会计助理,"['代理记账公司', '税务筹划代理公司']",4-5K,大专,青岛
4292,净化工程项目经理,['实验室建设、净化工程'],10-12K,大专,青岛
4293,外贸专员,"['有海外销售经验', '欧美市场', '北美市场', '中东市场', '网络销售']",10-15K,大专,青岛
4294,韩语/朝鲜语翻译,['韩语翻译'],4-9K,本科,青岛
4295,普工/操作工,"['午餐免费', '有WIFI', '缴纳社保', '坐班', '月结工资', '月休四天']",5-6K,中专/中技,青岛
4296,客房服务员,"['包住', '全勤奖', '绩效奖金', '免费培训', '餐补', '保洁经验']",5-8K,学历不限,青岛
4297,青岛凯捷重工招聘车工,"['普通车床', '3-5年经验', '月结', '包吃住']",6-8K,学历不限,青岛
4298,研发工程师,"['重型机械', '设计建模', '可行性研究', '机械工程专业', '接受出差']",7-12K,本科,青岛
4299,电商产品经理,"['C端产品', '市场调研', '产品/版本迭代', '数据分析', 'TOC']",5-8K,大专,青岛
4300,封边机操作工,"['午餐免费', '住宿免费', '有空调', '水电免费', '月结工资']",5-6.5K,学历不限,青岛
4301,阿里帮客招聘家电维修,"['兼职', '商业保险']",3-8K,学历不限,青岛
4302,崂山区许老太太水饺店招聘烧烤师傅,"['无经验', '炭烤', '包吃包住', '气烤']",5-8K,学历不限,青岛
4303,建筑工程项目经理,"['项目经理', '项目主管']",5-8K,大专,青岛
4304,前厅经理,"['包吃包住', '月休四天', '带薪年假', '五险', '绩效奖金', '包住']",6-8K,学历不限,青岛
4305,世纪润恒建筑工程招聘焊工,"['焊工操作证', '手弧焊', '日结', '周结', '包吃']",10-15K,学历不限,青岛
4306,灯光音响学徒,"['灯光助理', '舞台灯光师']",3-8K,中专/中技,青岛
4307,平面设计师,"['包装设计', '画册设计', '海报传单设计', '广告/设计公司']",6-9K,大专,青岛
4308,外贸业务经理,"['有外贸工作经验', '熟悉跨境平台操作', '有团队管理经验']",7-12K,大专,青岛
4309,建筑工程技术员,"['土木/土建工程师', '建筑施工现场管理']",5-10K,本科,青岛
4310,产品经理,['商业产品'],8-10K,大专,青岛
4311,产后康复师,"['产后恢复师', '理疗师', '全职兼职均可']",5-8K,学历不限,青岛
4312,CAD设计/制图,"['CAD', '设计师', '全职']",5-6K,大专,青岛
4313,羊免疫，采血,['动物免疫，采血'],3-5K,学历不限,青岛
4314,通力电梯有限公司招聘电梯工,"['交通补助', '餐补', '带薪年假', '话补', '五险一金', '加班费']",4-5K,中专/中技,青岛
4315,市北区护工,"['八小时工作制', '客房服务员']",3-4K,学历不限,青岛
4316,C++,"['嵌入式技术', 'DSP开发', '单片机开发']",12-20K·13薪,本科,青岛
4317,企业文化专员,"['图片/视频拍摄处理', '年会/大型活动策划组织']",8-12K,本科,青岛
4318,足部健康师,['足部健康'],8-13K,学历不限,青岛
4319,酒店养鱼杀鱼,"['管吃管住', '水台', '海养', '初加工', '每年调薪', '年终奖']",4-5K,学历不限,青岛
4320,化验员,"['石油化工', '农用化工', '化肥', '化学相关专业', '环保相关专业']",4-5K,大专,青岛
4321,财务文员,['统计，文员，财务出纳'],3-4K,大专,青岛
4322,建筑设计师,['施工图设计师'],5-8K,本科,青岛
4323,电商客服,"['含有销售的客服工作', '线上客服', '办公室坐班', '全职工作']",4-6K,学历不限,青岛
4324,瑜伽教练,"['私教课', '哈他瑜伽', '团课']",5-10K,高中,青岛
4325,软件产品经理,"['产品设计', '产品规划', '产品运营', '策略产品', 'Visio']",8-12K,大专,青岛
4326,设计助理,['CAD'],3-8K,大专,青岛
4327,CAD设计/制图,"['全屋定制设计', '设计师']",7-10K,学历不限,青岛
4328,智能化设计师,"['智能建筑', '广联达']",7-10K,大专,青岛
4329,Web前端工程师,['前端开发'],6-11K,本科,青岛
4330,媒介经理,"['KOL', '电商媒介', '娱乐类媒体', '达人对接', '直播']",8-12K,本科,青岛
4331,室内装修设计师助理,['室内设计'],5-7K,大专,青岛
4332,设计师,"['CAD', '酷家乐', '设计总监']",10-11K,大专,青岛
4333,兼职篮球教练,"['兼职', '小学教育', '线下授课', '集体授课', '全职兼职均可']",6-11K,大专,青岛
4334,培训与人才发展经理,"['餐饮业', '岗位认证', '训练培训', '连锁']",8-12K,本科,青岛
4335,售后工程师,['售后支持'],4-9K,大专,青岛
4336,养发馆店长,"['美发店', '交通补助', '免费培训', '餐补']",5-10K,学历不限,青岛
4337,口腔医生助理,"['医生助理', '口腔医生', '医生']",5-9K,中专/中技,青岛
4338,智能化项目型人才,"['IT服务', '系统集成', '安防监控', '项目招投标', '人工智能', '电力']",5-10K,学历不限,青岛
4339,全泰物流招聘货运代理经理,"['开发客户', '代理订舱', '海运', '多式联运', '有客户资源', '空运']",10-15K,大专,青岛
4340,实施工程师,"['软件实施经验', '可适应出差', '软件应用培训', '售后支持']",5-8K,大专,青岛
4341,小时家教,"['公立学校', '兼职', '线下教育', '不坐班', '学前儿童/小学生']",35-50元/时,学历不限,青岛
4342,桔至生活设计师（入职缴纳五险一金）,"['三维家', '设计师', '全屋定制', '家居设计', '五险一金', '年终奖']",9-14K·13薪,大专,青岛
4343,接待讲解(J10129),"['旅游相关专业', '普通话标准']",4-6K·13薪,本科,青岛
4344,货代销售,['进出口贸易'],4-9K,大专,青岛
4345,争鲜食品招聘厨师,['日料/韩餐'],4-8K,学历不限,青岛
4346,青岛英桐酒店招聘家电维修,"['包吃', '包住', '包吃住']",4-5K,学历不限,青岛
4347,仓库打包员,"['货物验收/入库', '货物出库', '质量管理', '打包']",3-5K,学历不限,青岛
4348,全屋定制设计师,"['整屋家具', '独立完成效果图', '良好的方案沟通能力']",5-10K,学历不限,青岛
4349,主播,"['抖音', '线下办公', '全职']",10-15K,大专,青岛
4350,全屋定制设计师,"['3D设计', '3D渲染', '设计师', '主案设计师', '设计经理', 'CAD']",5-10K·15薪,学历不限,青岛
4351,测试工艺工程师,"['自动化测试', '接口自动化测试', '电路测试工艺']",5-8K,本科,青岛
4352,兼职教师,"['教研', '教师', '托管老师']",5-6K,本科,青岛
4353,销售专员,"['个人（ToC）', '对企业/机构（ToB）销售经验', '无经验要求']",6-8K,高中,青岛
4354,研发助理,['生物，化学'],4-5K,大专,青岛
4355,平度市嫒再来餐饮店招聘面点师,"['中式面点', '水饺/包子/锅贴', '早餐/小吃', '无经验', '1-3年']",3-4K,学历不限,青岛
4356,展厅设计/空间设计师,"['企业产品展厅', 'SketchUp', '3dsMAX', '良好的方案沟通能力']",5-10K,学历不限,青岛
4357,建筑幕墙设计师,"['施工下料', '图纸绘制/审核', '方案设计', '玻璃', '石材', '钢结构']",5-6K,大专,青岛
4358,资深文案策划,"['公司内部职位', '户外广告', '微博/微信广告', '图文广告']",8-10K,学历不限,青岛
4359,黑珀工业招聘质量管理/测试,['生产质量管理'],6-11K,大专,青岛
4360,电话客服包住,"['售前客服', '办公室坐班', '不含销售的客服工作']",5-6K,学历不限,青岛
4361,美睫师,"['美甲', '睫毛嫁接', '不压工资，工资高上不封顶']",5-10K,学历不限,青岛
4362,西班牙语业务员,"['全职', '坐班', '西班牙语专业', '西班牙语业务']",7-12K,本科,青岛
4363,室内设计师助理,"['Sketchup', 'CAD', '全职']",3-5K,大专,青岛
4364,三维灯光渲染师,"['灯光渲染', 'MAYA']",8-13K,本科,青岛
4365,3D建模动画师,['3D动作设计'],3-6K,高中,青岛
4366,连锁药店店长营业员,['药店'],3-6K,中专/中技,青岛
4367,平面设计,"['设计师', '全职', '文创设计', '画册设计', '户外广告设计']",4-5K,大专,青岛
4368,美甲美睫师,"['房补', '加班费', '绩效奖金', '全勤奖']",4-6K,学历不限,青岛
4369,人资,"['3年以上绩效管理经验', '人力资源/管理类专业', '熟练使用Excel']",5-6K,本科,青岛
4370,高级嵌入式软件工程师,"['嵌入式技术', '嵌入式软件开发', 'Linux']",12-22K·13薪,本科,青岛
4371,机器人编程教师,"['线下教育', '坐班', '小班教学（3-25人）', '中学生']",6-10K,大专,青岛
4372,龍歌招聘洗碗工,"['全职', '包吃', '包住', '免费培训']",4-5K,学历不限,青岛
4373,短视频后期制作,"['广告片', '短视频', 'AE', 'Premiere', '剪辑', '达芬奇', 'AE']",6-10K,大专,青岛
4374,中医推拿理疗师,"['针灸推拿', '推拿师', '艾灸', '中医养生', '中医儿科', '理疗师']",10-11K,高中,青岛
4375,口腔执业医师,"['执业医师证', '口腔医生']",5-6K,大专,青岛
4376,前台运营,"['行政前台', '前台客服', '健身房', '前台接待']",3-4K,大专,青岛
4377,非标自动化设计,"['CAD', 'SolidWorks']",10-15K,本科,青岛
4378,美泰科技招聘电工,"['电工', '维修电工', '电工证', '包吃', '月休四天', '五险']",4-5K,中专/中技,青岛
4379,服装打版师,"['女装', '擅长AutoCAD']",6-8K,学历不限,青岛
4380,共享工作室设计师,"['全职兼职均可', '家庭式办公场所', '生活化工作环境']",5-6K,大专,青岛
4381,大健瑞凯招聘电工,"['维修电工', '电机修理电工', '月结', '包吃住']",7-12K,学历不限,青岛
4382,智能化（弱电）设计工程师,['智能建筑'],6-10K,大专,青岛
4383,维修工程师,"['汽车制造', '自动化', '机械工程专业']",6-8K,本科,青岛
4384,设计师助理,['全职'],3-5K,大专,青岛
4385,中海物业青岛公司招聘厨师,"['五险一金', '包吃', '包住', '月休四天', '弹性工作制']",3-4K,学历不限,青岛
4386,咨询顾问,"['个人（ToC）', '无经验要求', '电话销售经验', '面销/陌拜经验']",4-8K,本科,青岛
4387,AE客户经理,"['公关主管/经理', '市场公关', '广告媒介']",5-8K,大专,青岛
4388,办公室文员,['文员'],3-7K,大专,青岛
4389,电气研发中级工程师,"['自动化技术', 'CAD']",10-15K·13薪,本科,青岛
4390,学管师班主任辅导机构老师,"['培训机构', '线下教育', '坐班', '中学生', '不授课']",6-11K,大专,青岛
4391,设计师,"['家装设计', '硬装设计', '软装设计']",15-25K,大专,青岛
4392,送货员,"['短途骑车配送', '全勤奖', '绩效奖金', '无健康证']",3-4K,学历不限,青岛
4393,建筑商务预算,"['房地产/建筑', '不可兼职', '成本']",5-10K,大专,青岛
4394,电气工程师,"['PLC', '电气设计', '现场调试']",9-14K,本科,青岛
4395,长盈久丰招聘叉车工,"['五险一金', '商业保险', '叉车司机', '不加班', '餐补', '晋升空间大']",6-7K,中专/中技,青岛
4396,青岛永昇昌塑胶精密招聘钳工,"['包吃包住', '年终奖', '加班费', '免费培训', '晋升空间大']",3-8K,学历不限,青岛
4397,策划,"['活动策划', '文案', '公关']",4-8K,学历不限,青岛
4398,青岛骏安出行代驾服务招聘代驾司机,"['弹性工作制', 'C1驾驶证', '兼职']",3-4K,学历不限,青岛
4399,综合维修工,"['电气', '日常运维', '低压电工操作证', '综合维修经验']",5-7K,学历不限,青岛
4400,常规建库工程师(J10101),"['基因工程', '生物工程', '实验室技术员']",6-8K,本科,青岛
4401,客服专员,"['不含销售的客服工作', '电话客服', '线上客服', '正常工作制']",4-6K,大专,青岛
4402,电器工程师,['电路设计'],8-10K,学历不限,青岛
4403,教务班主任,"['培训机构', '线下教育', '学前儿童/小学生']",5-10K,大专,青岛
4404,装饰项目经理,"['二级建造师', '别墅豪宅', '住宅地产', '进度管理']",10-15K,大专,青岛
4405,执业药师,"['执业西药师证', '执业中药师证', '连锁药房工作经验']",5-7K,中专/中技,青岛
4406,运营商经理（移动、联通、电信）,"['需求采集', '运维管理']",7-10K,大专,青岛
4407,印刷包装厂生产计划人员,['印刷'],3-8K,中专/中技,青岛
4408,文案（早八点五十晚五点、双休、五险一金）,"['策划编辑', '营销编辑', '新媒体', '网站', '生活类', '旅游类']",4-6K,大专,青岛
4409,财务会计专员,"['财务分析', '税务', '代理记账公司', '中级会计师', '不可兼职']",4-5K,大专,青岛
4410,硬件研发工程师,"['芯片/半导体/集成电路', '电池/电源类产品']",10-15K·13薪,大专,青岛
4411,轮胎外贸销售高薪,"['英语可作为工作语言', '网络销售', '北美市场', '欧美市场']",8-12K·14薪,本科,青岛
4412,地产中介,"['二者兼具', '实地看房', '客户开发', '房源开发', '豪宅', '新房']",5-10K,学历不限,青岛
4413,哚哚米线招聘服务员,"['八小时工作制', '包吃', '兼职', '全职兼职均可']",4-5K,学历不限,青岛
4414,汽车检测,"['二手车回收', '二手车评估', '二手车销售', '轿车', '跑车', 'SUV']",5-10K,学历不限,青岛
4415,书店店长,"['五险一金', '餐补', '连锁经营管理', '带薪年假', '加班费']",5-7K,大专,青岛
4416,淘宝天猫全职在线客服招聘,"['含有销售的客服工作', '倒班工作制', '办公室坐班', '全职工作']",4-8K,学历不限,青岛
4417,助理研究员+双休,"['金融', '甲方公司', '二级市场研究经验']",4-8K·14薪,本科,青岛
4418,武术教练,"['自由搏击', '退役运动员', '武术', '专业队教练经验', '跆拳道']",6-11K,学历不限,青岛
4419,网咖网管,['网管前台网络管理员'],2-3K·13薪,学历不限,青岛
4420,平面设计师,"['包装设计', '视觉设计', '全职', '印刷', '会展', '新媒体', '包装']",6-10K,本科,青岛
4421,青岛中建富兴招聘质量管理/测试,['生产质量管理'],5-7K,高中,青岛
4422,工程制图,"['CAD', '工业设计']",5-8K,大专,青岛
4423,产品讲解员,['讲解会务'],4-8K,大专,青岛
4424,教育事业部专员,"['策划', '教育培训', '研学旅行', '拓展培训', '导游']",3-6K,本科,青岛
4425,带货主播,"['抖音', '美妆护肤', '五险一金', '普通话流利']",9-14K,学历不限,青岛
4426,招聘全屋设计师保底8000,"['整屋家具', 'AutoCAD', '良好的方案沟通能力', '客情维护']",5-10K,大专,青岛
4427,表演教师,"['集体授课', '一对一授课', '教师', '主持培训', '教育培训']",1-3K,本科,青岛
4428,小工匠招聘样衣工,"['样衣工', '全职兼职均可', '服装纺织', '服装设计', '底薪加提成']",6-11K,学历不限,青岛
4429,商务经理,"['商务洽谈能力', '资源整合能力', '商务合作拓展']",6-8K,大专,青岛
4430,飞哥立桩招聘电工,"['低压电工', '电工证']",8-10K,大专,青岛
4431,美容皮肤科医生,['执业医师证'],20-30K,大专,青岛
4432,值班经理,['营运日常管理'],4-5K,大专,青岛
4433,高级美发师,['发型师'],8-13K,学历不限,青岛
4434,导购员,"['超市导购', '底薪加提成', '工龄奖', '过节福利', '月休四天', '五险']",3-5K,学历不限,青岛
4435,少儿编程教师,"['编程', '少儿编程', '乐高']",4-9K,本科,青岛
4436,蔚来顾问(JWKD2),"['大客户销售', '新零售', '3C', '汽车', '人工智能', '智能']",13-26K·13薪,大专,青岛
4437,青岛百乐运招聘物流经理,"['物流', '五险一金', '餐补', '带薪年假', '每年多次调薪', '高温补贴']",8-10K,大专,青岛
4438,公众号运营,"['粉丝运营', '活动运营', '社交平台', '微博运营']",6-8K,本科,青岛
4439,电商美工,"['PhotoShop', 'CAD', 'AI', '全职']",5-6K,学历不限,青岛
4440,电商运营助理,"['电商运营', '新媒体运营', '活动运营']",5-8K,大专,青岛
4441,高薪招项目经理环保设备,"['销售支持/交付管理', '售前支持经验', '团队管理经验']",10-15K,大专,南昌
4442,建筑设计师,['建筑设计师'],5-10K,本科,南昌
4443,事务所律师助理,"['专职律师', '诉讼/非诉讼', '授薪制', '提成制', '独立办案能力']",7-8K,本科,南昌
4444,美发学徒,"['包吃', '晋升空间大', '美发助理/学徒', '全职兼职均可']",1-2K,学历不限,南昌
4445,南昌子公司合伙人,['公司管理'],30-40K,本科,南昌
4446,护士/护理,['常规护理'],3-4K,学历不限,南昌
4447,贵州鸿豪矿产资源咨询招聘生产安全员,"['安全资格证', '注册安全工程师证书']",4-9K,本科,南昌
4448,技术维修员,['设备维修售后'],4-9K·13薪,大专,南昌
4449,品牌运营,"['直播平台', 'C端用户运营', '课程运营', '线上运营']",8-10K,大专,南昌
4450,物业管理员,"['物业客服', '维序员']",6-7K,学历不限,南昌
4451,门店店长,"['管理经验', '销售经验', '就近分配', '五险']",4-8K,学历不限,南昌
4452,前台人事 主播,"['网络主播', '全职兼职均可']",3500-10000元/月,初中及以下,南昌
4453,商务专员,['线上广告'],6-11K,中专/中技,南昌
4454,插画师,"['插画设计', '手绘']",4-6K,学历不限,南昌
4455,公职类考试培训讲师（公基非法）,['培训师'],6-11K,本科,南昌
4456,幼儿园主班老师,"['全职', '培训机构', '线下教育', '坐班', '教学管理']",5-6K,本科,南昌
4457,快消品促销员,"['全职', '线下', '就近分配']",5-6K,学历不限,南昌
4458,化妆助理,['月休四天'],1-2K,学历不限,南昌
4459,口腔医生 毕业生,"['口腔综合', '中级职称']",3-6K,学历不限,南昌
4460,导演,"['导演', '编导']",5-8K,大专,南昌
4461,信奥赛老师（双休+就近分配+六险一金）,"['c++', '编程老师']",4-8K,本科,南昌
4462,运营总监,"['联合创始人', '运营管理', '公司管理', '团队管理', '战略管理']",15-25K,本科,南昌
4463,出纳,['出纳经验'],3-4K,大专,南昌
4464,投资总监,['投融资管理'],12-20K·13薪,硕士,南昌
4465,主办会计,"['会计', 'Excel', '记账', '总账', '单据审核']",5-7K,大专,南昌
4466,总经理助理,"['行政管理', '财务管理', '人力资源管理', '市场营销管理']",4-6K,大专,南昌
4467,笔电BIOS开发工程师 (MJ001347),"['C/C++', 'Windows驱动开发经验', 'BIOS']",15-25K,本科,南昌
4468,兼职-广告安装,['物料制作/安装'],1-2K,学历不限,南昌
4469,拓展经理,"['线下零售', '连锁体系工作经验', '商业选址']",5-10K·13薪,学历不限,南昌
4470,产后康复学员，产后康复师,['认真细致负责性情温和善沟通表达和言传身教'],3-8K,学历不限,南昌
4471,室内办公底薪3500加提成包住宿,"['各信息流渠道', '包住宿', '一对一的带教', '交通方便']",5-9K,学历不限,南昌
4472,英语部主管,"['ACT', '小学教育', '教务管理', '学科带头人', '线下授课', '全职']",8-10K,大专,南昌
4473,总账会计,"['制造业', '不可兼职']",5-6K,大专,南昌
4474,南昌高鼎招聘网约车司机,"['免费培训', '平台一对一派单', '车辆保险/保养']",7-8K,学历不限,南昌
4475,助理工程师,"['功能测试', '软件测试', '性能测试']",3-4K,大专,南昌
4476,有家便利店招聘防损员,"['就近分配', '免费工装', '包住', '带薪培训', '宿舍有空调']",120-180元/天,,南昌
4477,项目经理,['项目实施'],6-10K,本科,南昌
4478,双休！早十晚七！无销售！快递售后星服务,"['不含销售的客服工作', '电话客服', '接待处/咨询台客服']",4-6K,中专/中技,南昌
4479,抖音短视频剪辑,"['合成', '音乐', '剪辑']",3-4K,大专,南昌
4480,教务专员,['成人教育'],4-5K·13薪,大专,南昌
4481,政府商务营销,['政府采购'],8-12K,大专,南昌
4482,星河配送招聘货运司机,"['无费用', '驾驶证C1', '底薪加提成', '公司提供运输面包车']",4-6K,学历不限,南昌
4483,青山湖区季季红火...招聘洗碗工,"['节日福利', '洗筷子盘子']",4-5K,学历不限,南昌
4484,置业顾问,"['二手房销售', '房产销售', '收房管家', '资深销售']",5-10K,中专/中技,南昌
4485,实习生（资料员）,"['建筑施工', '工程资料员', 'CAD', '资料员职业资格证', '品茗']",3-4K,大专,南昌
4486,奶茶店店员,"['底薪加提成', '新式茶饮/奶茶店', '全职兼职均可', '晋升空间大']",3-6K,学历不限,南昌
4487,行政经理,"['行政', '前台', '助理']",6-7K,大专,南昌
4488,迅风智能科技招聘电工,"['特种作业操作证', '底薪加提成', '周末单休', '全职兼职均可']",6-8K,学历不限,南昌
4489,平面设计师,"['平面设计', '广告设计', '设计师', '美术设计师', 'PhotoShop']",4-6K,本科,南昌
4490,前端工程师（实习生）,"['前端开发', 'HTML', 'AJAX', 'jQuery', 'React', 'Angular']",2-3K,本科,南昌
4491,华阳信息服务招聘家电维修,"['上门维修', '自备交通工具', '会用导航', '就近分配']",8-13K,学历不限,南昌
4492,催乳师,"['骨盆修复', '腹直肌修复', '盆底肌修复']",6-11K,学历不限,南昌
4493,急招商务经理5000起步,"['市场营销合作', '商务合作拓展', '互联网/科技', '批发/零售']",5-10K,学历不限,南昌
4494,土建安全员,['五险'],3-6K,大专,南昌
4495,供销新零售招聘供应链总监,"['中大型供应链管理经验', '有客户资源', '接受出差']",13-15K·13薪,本科,南昌
4496,项目经理/主管,['企业内部技术项目管理'],15-20K,本科,南昌
4497,头皮护理师,"['免费培训', '绩效奖金', '工龄奖', '包吃', '八小时工作制']",5-10K,学历不限,南昌
4498,高薪保洁,"['就近分配', '室内清洁', '开荒清洁', '社保', '五险', '免费培训']",6-10K,学历不限,南昌
4499,b端产品经理,"['B端产品', '投标文件编制', '需求分析', 'VR']",10-15K,本科,南昌
4500,法务顾问,['法务专员'],6-10K,学历不限,南昌
4501,慧谷酒店招聘电工,"['五险一金', '包住', '全勤奖', '绩效奖金', '包吃住', '工龄奖', '包吃']",3-4K,中专/中技,南昌
4502,课程顾问,"['五险', '房补', '餐补', '全勤奖']",4-9K,大专,南昌
4503,三维3D设计师,"['CAD', '3DMax', 'PhotoShop', '3D设计', '展陈设计', '设计师']",5-7K,本科,南昌
4504,运营总监,"['运营管理', '团队管理', '战略管理', '公司管理', '运营部门管理']",15-20K,大专,南昌
4505,教学管理事业伙伴,"['教学管理', '学管师', '教务管理', '学前教育', '行政管理']",6-10K,大专,南昌
4506,服装导购,"['全勤奖', '底薪加提成', '法定节假日三薪', '免费工装', '门店销售']",7-12K,学历不限,南昌
4507,测量员,"['工程测量/测绘', '土建']",4-7K,本科,南昌
4508,广告制作,"['雕刻', '广告喷绘', '物料制作/安装', '4A广告公司经验', '印刷']",3-6K,中专/中技,南昌
4509,教务专员,['家庭教育'],4-8K,本科,南昌
4510,粤骏招聘机修工,"['机床维修', '月结', '包住']",6-8K,中专/中技,南昌
4511,资料员,['周末双休'],3-5K,大专,南昌
4512,店长合伙人,"['门店销售', '汽车配件销售', '汽车资源', '汽车零部件']",5-8K,初中及以下,南昌
4513,机器人slam算法工程师,"['智能驾驶', '计算机相关专业', '数学/统计相关专业']",25-35K,硕士,南昌
4514,工程文员,"['公共建筑', '高层建筑', '装配式建筑', '农业建筑', '绿色建筑']",2-3K,学历不限,南昌
4515,急聘销售无责底薪3500,"['个人（ToC）', '售后服务', '售前服务', '客服经验', '沟通能力强']",7-12K,学历不限,南昌
4516,CCPG招聘消防中控员,"['初级', '环境好', '就近分配', '消防设施操作证']",4-5K,高中,南昌
4517,销售经理,"['大客户销售', '商务渠道', '区域销售']",6-8K,大专,南昌
4518,拍摄剪辑专员,"['视频剪辑', '短视频', '特效设计', '音频剪辑', '广告', '后期制作']",5-10K,学历不限,南昌
4519,数码快印前期制作,"['封面设计', '广告设计', '画册设计', '广告/设计公司']",4-5K,中专/中技,南昌
4520,总经理助理,"['医疗', '政府', '驾驶证C1']",7-12K,高中,南昌
4521,包吃网络销售,"['销售专员', '新媒体推广']",4-9K,大专,南昌
4522,餐饮店长,"['门店运营管理', '巡店督导', '连锁经营管理', '餐厅运营', '中餐厅']",6-9K,学历不限,南昌
4523,销售（试用期不打折）,"['电话销售经验', '网络营销经验', '面销/陌拜经验', '个人（ToC）']",15-23K,大专,南昌
4524,培训主管,"['培训实施', '制度制定及落地优化', '课程开发']",6-8K,大专,南昌
4525,广告设计师,"['广告创意', '市场推广', '活动策划']",3-4K,本科,南昌
4526,直播运营经理,"['直播电商', '电商运营', '内容运营', '直播运营', '运营部门管理']",8-12K,大专,南昌
4527,文案编辑，摄影，剪辑,['短视频'],5-7K,大专,南昌
4528,图文广告设计师,"['CDR', 'FW', '海报传单设计', '广告/设计公司', 'AI', '画册设计']",3-8K,学历不限,南昌
4529,直播主播,"['抖音', '普通话流利', '接受夜班', '五险一金', '服装鞋履']",5-10K,本科,南昌
4530,感官测评专家,"['CMA认证', '化学检测', '分析工职业资格证书']",7-8K,本科,南昌
4531,客房服务员,['客房服务经验'],1-2K,学历不限,南昌
4532,少儿栏目经纪人,['少儿频道电话经纪人'],4-8K,大专,南昌
4533,科研人员,['数据需求分析'],6-11K,硕士,南昌
4534,策划专员,"['活动策划', '活动执行', '双休']",5-8K,大专,南昌
4535,审计,['会计初级职称'],3-4K,学历不限,南昌
4536,咨询师,"['管理咨询', '咨询领域', '财会服务', '企业战略咨询']",7-12K,硕士,南昌
4537,CAE结构工程师,"['ANSYS', 'CATIA', 'UG', 'Hypermesh', 'Abaqus']",10-15K,硕士,南昌
4538,体适能教练,"['教练', '私教', '助教', '健身教练证']",5-6K,学历不限,南昌
4539,竣工图设计师,"['民用建筑', 'AutoCAD', '施工图独立设计']",120-150元/时,本科,南昌
4540,美发助理技师,['包吃'],1-2K,学历不限,南昌
4541,广告设计师,"['3D设计', '广告设计']",3-6K,大专,南昌
4542,就业老师,"['兼职', '全职', '培训机构', '线下教育', '成人教育就业培训']",4-9K,大专,南昌
4543,江西领先未来招聘电脑维修,"['IT技术支持经验', '售前/售后技术支持', '计算机/通信相关专业']",4-7K,高中,南昌
4544,汽车美容,"['车辆贴膜', '洗车', '包住']",3-4K,初中及以下,南昌
4545,土地规划,['城市规划设计师'],5-6K,本科,南昌
4546,密室演员基本工资5000-6000 看个人能力,['配音员'],6-11K,大专,南昌
4547,班主任/辅导员,"['辅导员', '班主任']",3-4K,中专/中技,南昌
4548,高中政治教师,"['全职', '培训机构', '线下教育', '坐班']",6-11K,本科,南昌
4549,菜鸟直送招聘快递员,"['绩效奖金', '配送员', '就近分配', '高温补贴', '全职']",5-9K,学历不限,南昌
4550,计调,['计调'],3-5K,大专,南昌
4551,全职中国舞教师,"['助教', '艺术', '班级授课', '1对1', '素质教育', '小学教育']",4-8K,本科,南昌
4552,电商美工,"['母婴玩具', '生活用品', '运动户外', '亚马逊', 'DW', 'PS', 'AI']",4-6K,大专,南昌
4553,物业综合维修工,"['住宅地产', '全职']",6-7K,学历不限,南昌
4554,抖音短视频后期制作,"['短视频', '剪辑']",5-10K,学历不限,南昌
4555,体育教练,"['内训', '全职兼职均可', '有拓展培训策划执行的经验', '有团建经验']",3-5K,高中,南昌
4556,高级商务经理,"['商务洽谈能力', '资源整合能力', '项目执行推进能力']",10-15K,大专,南昌
4557,机电工程师（智慧交通项目）,"['道路工程', '机电']",6-10K·15薪,大专,南昌
4558,就近安排或包吃住高提成房产销售,"['个人（ToC）', '无经验要求', '互联网金融', '房地产', '房地产']",6-7K,学历不限,南昌
4559,短期出差员月入过w,"['包住宿', '五险']",5-10K,学历不限,南昌
4560,嘿行招聘代驾司机,"['酒后代驾', '熟练手动/自动挡']",5-10K,学历不限,南昌
4561,装备工艺员,"['AutoCAD', 'CATIA', '五险一金', '高温补贴', '定期体检']",7-12K,大专,南昌
4562,市场拓展总监/经理,['市场营销管理'],12-24K,大专,南昌
4563,无需经验朝九晚六带薪培训,"['线下零售', '信息流投放经验', '线下', '线上', '带薪培训', '五险']",4-8K,高中,南昌
4564,工程技术员,"['包住', '400餐补', '机械大类']",5-7K,大专,南昌
4565,收银员,['线下零售'],3-4K,学历不限,南昌
4566,洗车工,['做过精洗优先'],3-4K,学历不限,南昌
4567,会展活动执行,"['一般企业', '科技展', '活动执行统筹经验']",6-11K,学历不限,南昌
4568,兼职保洁员,"['就近分配', '室内清洁']",1-2K,学历不限,南昌
4569,储备店长、店助,"['餐补', '管理', '包住', '餐饮运营']",7-12K,中专/中技,南昌
